en,ja
"""En-Nah"" Into Your Lap","棚から「ンナンナ」Tanakara ""Nna Nna"""
"""En-Nah"" Into Your Lap","棚から「ンナンナ」Tanakara ""Nna Nna"""
"""En-Nah"" Into Your Lap","棚から「ンナンナ」Tanakara ""Nna Nna"""
"""En-Nah"" Into Your Lap","棚から「ンナンナ」Tanakara ""Nna Nna"""
"""En-Nah"" Into Your Lap","棚から「ンナンナ」Tanakara ""Nna Nna"""
"""En-Nah"" Treasure Hunt",「ンナナ」お宝探し
"""Ending Theme""",「エンディングテーマ」
"""Everyone Get Fired Up!""",「共に燃えようか」
"""Fairy""",「Fairy」
"""Feathered Blade Approaching""",「刹那の羽刃」
"""Fight On!""",「激闘！」
"""Final Emergency Plan""",「最終応急プラン」
"""First Time on Stage""",「初めてのステージ」_JP0D
"""Good Friends""",「親友」
"""Good Paying Jobs Are Hard to Find""",「高収入の求人を探すなら」
"""Goodbye, Holidays""",「グッバイホリデイ」
"""Great Value for Money!""",「安くて良い品！」
"""Greater Hermit of the City""",「真のつわものは市井に隠れる」
"""Hello, I am...""",「もしもし、こちら…」
"""Help...!""",「助けて！」
"""Hero's Path""",「大侠の道」
"""Hollow Hunters""",「ホロウ・ハンターズ」
"""Honest to Goodness!""",「キレイな商売！」
"""I'll Take Care of It""",「ま、なんとかなるでしょ」
"""I want a golden battery""",「金の電池欲しい！」
"""Inspiration"" Small Pack",「ひらめき」少量サイズ
"""Instant Trigger""",「空気ピリピリ…！」
"""Interview Incident""",「インタビュー事故」
"""Joint Operation""",「群策群力」
Joyous,ジョイアスJoiasu
"""Justice and Order""",「正義と秩序」
"""LOAD GAME""",「LOAD GAME」
"""Lady in White""",「白いワンピースの女」
"""Leave It To Me""",「任してくれ」
"""Little Boars, Coming Right Up""",「イノシシをどうぞ」
"""Midsummer"" Supply Box",「ミッドサマー」のサプライボックス
"""Mighty"" Stone Lion",「威風堂々」とした石獅子
"""My Love For You""",「君を愛する気持ち」
"""Never Overtime"" Standee",『定時の神話』の宣伝パネル
"""New Energy! New Era!""",「新たなエネルギー、新たな時代！」
Lucia Elowen,リュシア・エロウェンRyushia Erouen
"""Once Dreamed of Plucking Stars""",「かつて星を摘もうとした」
"""Patience of a Cat""",「ネコの堪忍袋」
"""Peerless Player"" Customized Controller",「ゼロサーゲーマー」特注コントローラー
"""Peerless Player"" Exclusive Controller",「ゼロサーゲーマー」専属コントローラー
"""Perfect Pose""",「完璧なポーズ」
Phaethon,"「パエトーン」""Paetōn"""
"""Phaethon, Oh Phaethon!""",「パエトーン」よ、「パエトーン」
"""Pink Bear""",「ピンクのくまさん」
"""Precise Focus""",「ピント合わせ」
"""Resale of Hollow-Derived Items Is Prohibited""",「ホロウ産物は転売禁止」
"""Roger""","「ロジャー」""Rojā"""
"""Sea Wizard""",「海の魔法使い」
"""Silly Game""",「バカげた遊び」
"""Spark""",「K.O.」
"""Stay Away from Hollows"" Poster",「ホロウから離れなさい」のポスター
Yidhari Murphy,イドリー・マーフィーIdorī Māfī
"""Sunbringer""","「サンブリンガー」""Sanburingā"""
"""Super Scary Big Tiger""",「どえらく怖い、大きいトラ」
"""Sweet Dreams Going Wrong""",「悪夢は現実に」
"""Swordmaster""","""Swordmaster"""
"""Take a Break""",「一休み」
"""Tangible Memento""","「形のある記念」""Kata no Aru Kinen"""
"""Taste in Shows""",「番組選びのセンス」
"""Terrifying!""",「怖えぇぇぇ！」
"""Thank You For Requesting Me""",「ご指名ありがとうございます」
"""That's the design""",「そういう設計だからね」
"""That Doesn't Count, Again!""",「今のはノーカン！もう一回だ！」
"""The Other Side""",「もう一つの顔」
"[Hollow] ""The Town""",[ホロウ]「町」
"""The Town""",「町」
"""The Truth""",「本音」
"""The perfect chance! Bam!""",「チャンスだ！プー！」
"""Tigerbane Legend""",『臥虎の伝説』
"""To Be Continued""",「To be continued…」
"""Today's Training""",「本日の修行」
"""Trust Your Life""",「命を託す」
"""Try Hitting It""",「ちょっと殴ってみるか」
"""Unexpected News""",「思わぬ立ち聞き」
"""VIP"" Arrives",「賓客」の訪問
"""Waiting to Dial""",「呼び出し中」
"""Waiting to Melt""",「融解を待ちながら…」
"""Waiting to Weather""",「風化を待ちながら…」
"""Watch Out! Slippery Floor!""",「足元注意！」
"""We'll Meet Again""",「また会う日まで」
"""Weeding"" Memory",「草刈り」の思い出
"""Witch's"" Trial","「魔女」裁判""Majo"" Saiban"
"""With Friends, You Are Not Lonely""",「友達がいれば、孤独じゃない」
"""Withering"" Corruption Sample",「枯渇病」侵蝕サンプル
"""You Sure Are Awesome, Purr~""",「よくやったぷー」
"""Yum Cha Forever!""",「お茶にしよう！」
"""Yummy Rush"" Power Jelly",「即攻美味」パワージェリー
"""Yummy Rush"" Power Jelly",「即攻美味」パワージェリー
"""Zero Discipline""",「お決まり大嫌い」
[.] Silver's revival,[。]シルバーの復活
"[Ad] The CALM urban lightweight vehicle, unassuming yet exceptional!",【広告】カームシティ軽自動車、サイレントかつエクセレント！
[Adventure] Boollseye Type I,[おつかい]ズバットボンプ-Ⅰ型
[Adventure] Boollseye Type II,[おつかい]ズバットボンプ-Ⅱ型
[Adventure] Boollseye Type III,[おつかい]ズバットボンプ-Ⅲ型
[Adventure] Brawlerboo Type I,[おつかい]カクトウボンプ-Ⅰ型
[Adventure] Brawlerboo Type II,[おつかい]カクトウボンプ-Ⅱ型
[Adventure] Brawlerboo Type III,[おつかい]カクトウボンプ-Ⅲ型
[Adventure] Chubby Shark,[おつかい]まるまるサメ
[Adventure] Cruiser,[おつかい]兜ちゃん
[Adventure] Ink Boolock Type I,[おつかい]モクドンドン・Ⅰ型
[Adventure] Ink Boolock Type II,[おつかい]モクドンドン・Ⅱ型
[Adventure] Ink Boolock Type III,[おつかい]モクドンドン・Ⅲ型
[Adventure] Knightboo Type I,[おつかい]キシドウボンプ-Ⅰ型
[Adventure] Knightboo Type II,[おつかい]キシドウボンプ-Ⅱ型
[Adventure] Knightboo Type III,[おつかい]キシドウボンプ-Ⅲ型
[Adventure] Lil Marker,[おつかい]シルシボンプ
[Adventure] Lil Seeker,[おつかい]オタカラボンプ
[Adventure] Lil Voyager,[おつかい]ボウケンボンプ
[Adventure] Pai Shark,[おつかい]ミニサメ
[Adventure] Paperboo Type I,[おつかい]ハコイリボンプ-Ⅰ型
[Adventure] Paperboo Type II,[おつかい]ハコイリボンプ-Ⅱ型
[Adventure] Paperboo Type III,[おつかい]ハコイリボンプ-Ⅲ型
[Adventure] Racer,[おつかい]暴ちゃん
[Adventure] Runner,[おつかい]運ちゃん
[Adventure] Slacker Shark,[おつかい]さぼりサメ
[Adventure] Sumoboo Type I,[おつかい]オスモウボンプ-Ⅰ型
[Adventure] Sumoboo Type II,[おつかい]オスモウボンプ-Ⅱ型
[Adventure] Sumoboo Type III,[おつかい]オスモウボンプ-Ⅲ型
Card,カードKādo
[Adversity] Combat Nutrient Pack,[逆境]サバイバルパック
[Adversity] Dual Injection Needle,[逆境]ダブルサイド注射器[Gyakkyou] Daburu Saido Chūshaki
[Adversity] Emblem of Calamity,[逆境]厄災の令牌
[Adversity] Emergency Partition,[逆境]応急仕切り板
[Adversity],[逆境]
[Adversity] Pacemaker of Vitality,[逆境]救命ペースメーカー
[Adversity] Pain-Killer Hormones,[逆境]鎮痛ホルモン
[Adversity] Powerful Dialysis Machine,[逆境]強力透析装置
[Adversity],[逆境]
[Adversity] Targeted Antibodies,[逆境]指向性抗体
"[Affinity] ""Such Might""",[適合]「すっごい威風」
[Affinity] 17-Item Check-Up,[適合]17件のチェック項目[Tekigō] Jyūnanaken no Chekku Kōmoku
[Affinity] A Soup to Bring Everyone Together,[適合]同じ釜の飯を食う
[Affinity] Absolutely Flawless,[適合]天衣無縫
[Affinity] Anomaly Tactical Exchange,[適合]異常戦術交流
[Affinity] Apex Predator,[適合]頂点捕食者
[Affinity] Attack Tactical Exchange,[適合]強攻戦術交流
[Affinity] Back to Prime,[適合]昔の感覚
[Affinity] Bangboo Give Me Strength,[適合]ボンプよ、我に力を
[Affinity] Changing Tides,[適合]潮汐に耳を傾けて
[Affinity] Defense Tactical Exchange,[適合]防護戦術交流
[Affinity] Efficient Surge,[適合]高効率モード
[Affinity] Encore Time,[適合]アンコールの時間
[Affinity] Exercise Before Dinner,[適合]食前の運動
[Affinity] Fighting Style: Mixed Fruit Flavor,[適合]ファイトスタイル：ミックスフルーツフレーバー
[Affinity] Flowers on the Ruins,[適合]廃墟に咲く花
[Affinity] Frosty Eviction,[適合]冷たき門前払い
[Affinity] Full Firepower,[適合]火力全開
[Affinity] Fully Charged,[適合]充電満タン
[Affinity] Guarding Tranquility,[適合]守華照寂
[Affinity] Haiku Swordplay,[適合]俳句剣術[Tekigō] Haiku Kenjutsu
[Affinity] Hammer Sparks,[適合]ハンマースパークス
[Affinity] Hostile Wake-Over,[適合]敵対的起床
[Affinity] Lady-Like Charge,[適合]お嬢様突撃
[Affinity] Like a Fish in Water,[適合]水を得た魚
[Affinity] Lucky Plum Cookie,[適合]福来たる干し梅
[Affinity] Moonlit Adventure,[適合]月夜の大冒険
[Affinity] Muscle Mayhem,[適合]マッスルメイヘム
[Affinity] My BGM is On,[適合]処刑用BGM、ON
[Affinity] Nail It Big Time,[適合]ド派手にやっちゃえ
[Affinity] Nitro-Fuel Feast,[適合]ニトロフューエル・パーティー
[Affinity] Overlord's Accompaniment,[適合]覇者と共に
"[Affinity] Partners in ""Crime""",[適合]「共犯者」の連携
[Affinity] Passionate Cleanup,[適合]真心のお掃除
[Affinity] Path of Honor,[適合]共に歩む栄光の道
[Affinity] Perfect Symmetry,[適合]最高のパートナー
[Affinity] Power of Hope,[適合]希望の力
[Affinity],[適合]
[Affinity] Rupture Tactical Exchange,[適合]命破戦術交流
Affinity: Silver Heart's Resonance,[適合]シルバーハート・レゾナンス[Tekigō] Shirubāhāto - Rezonansu
[Affinity] Solid Companionship,[適合]共に励まし、共に進む
[Affinity] Stun Tactical Exchange,[適合]撃破戦術交流
[Affinity] Support Tactical Exchange,[適合]支援戦術交流
[Affinity] Tempered Blade,[適合]百錬の大剣
[Affinity] The Dead Dials,[適合]亡者のダイヤル
[Affinity] The Girl's Parasol,[適合]少女の日傘
[Affinity] The Phantom Thief's Magic,[適合]怪盗の魔法
[Affinity] Three Musketeers,[適合]三銃士
[Affinity] Un-Bear-Able Rage,[適合]熊の顔も三度まで
[Affinity] Up to the Task,[適合]余裕綽々
Affinity with Your Rhythm,[適合]二人の旋律
[Alice] Aurora Ensemble,「アリス」霜芒重奏
[Alice] Duelist's Etiquette,「アリス」決闘のマナー
[Alice] Swiftblade Spin,「アリス」ブレードロンド
[Ally] Amillion,[サポート]アミリオン
[Ally] Avocaboo,[サポート]アボカドボンプ
[Ally] Baddieboo,[サポート]カチコミボンプ
[Ally] Bagboo,[サポート]フクロノボンプ
[Ally] Bangvolver,[サポート]リボルバボンプ
[Ally] Boollseye,[サポート]ズバットボンプ
[Ally] Booressure,[サポート]キアツデボンプ
[Ally] Butler,[サポート]バトラー
[Ally] Cryboo,[サポート]ウルリンボンプ
[Ally] Devilboo,[サポート]アクマデボンプ
[Ally] Electroboo,[サポート]ビリビリボンプ
[Ally] Exploreboo,[サポート]タンケンボンプ
[Ally] Knightboo,[サポート]キシドウボンプ
[Ally] Luckyboo,[サポート]オマネキボンプ
[Ally] Magnetiboo,[サポート]クッツキボンプ
[Ally] Officer Cui,[サポート]ツェイ巡査
[Ally] Paperboo,[サポート]ペンギンボンプ
[Ally] Penguinboo,[サポート]ペンギンボンプ
[Ally] Plugboo,[サポート]プラグノボンプ
[Ally] Red Moccus,[サポート]真紅のモックス
[Ally] Resonaboo,[サポート]レゾナンボンプ
[Ally],[サポート]
[Ally] Rocketboo,[サポート]ハヤスギボンプ
[Ally] Safety,[サポート]ゴアンゼン
[Ally] Sharkboo,[サポート]ガブットボンプ
[Ally] Sumoboo,[サポート]オスモウボンプ
Card,カードKādo
[Anomaly - Stun] Chaos Measuring Beaker,[異常・撃破]混沌ビーカー
[Anomaly - Stun] Compound Stimulant,[異常・撃破]化合刺激剤
[Anomaly - Stun] Essence Pill,[異常・撃破]混元丹
[Anomaly - Stun],[異常・撃破]
[Anomaly - Stun] Growth Culture Medium,[異常・撃破]成長培養基
[Anomaly - Stun] Research Microscope,[異常・撃破]研究用顕微鏡
[Anomaly - Stun],[異常・撃破]
[Anomaly - Stun] Shattered Test Tube,[異常・撃破]炸裂試験管
[Anomaly - Stun] Solvent Launcher,[異常・撃破]溶剤ランチャー
[Anomaly - Stun] Universal Catalyst,[異常・撃破]万能触媒
[Artifice] Burning Rose,[奇術]燃えるバラ
[Artifice] Extendable Short Sword,[奇術]伸び縮みナイフ
[Artifice] Hypnotic Pocket Watch,[奇術]催眠懐中時計
[Artifice] Magician Gloves,[奇術]マジシャンの手袋
[Artifice] Mechanical Pigeon,[奇術]機械仕掛けのハト
[Artifice] Ornate Cane,[奇術]豪華な杖
[Artifice] Pitch Dark Cape,[奇術]真っ黒マント
[Artifice],[奇術]
[Artifice] Sensory Poker,[奇術]テレパシートランプ
[Artifice] Top Hat of Wonders,[奇術]マジックハット
[Assessment-Only] Student ID,「試験限定」受験票
[Assist] Activity Transfer Device,[支援]活性伝達装置
[Assist] Backup Shield Generator,[支援]スペアシールド生成機
[Assist] Collective Emblem,[支援]レゾサイン
[Assist] Cycle Drive Unit,[支援]循環駆動装置
[Assist] Dynamic Calibration Device,[支援]ダイナミックキャリブレータ
[Assist] Dynamic Sensors,[支援]動体センサー
[Assist] Emergency Enhancement Device,[支援]応急強化装置
[Assist] Ether Reaction Device,[支援]エーテル反応装置
[Assist] Gate Breaker,[支援]ドアブレイカー
[Assist] HF Communicator,[支援]高周波通信機
[Assist] Hand Operated Generator,[支援]ダイナモジェネレータ
[Assist] Holographic Decoy,[支援]ホログラムデコイ
[Assist] Hydraulic Buffer,[支援]油圧式ダンパー
[Assist] Impact Feedback Device,[支援]衝撃フィードバック装置
[Assist] Impact Stacker,[支援]衝撃増幅器
[Assist],[支援]
[Assist] Tactical Analyzer,[支援]戦術アナライザー
[Astra Yao] Crimson Beats,[アストラ]緋色のビート
[Astra Yao] Rainbow Concerto,[アストラ]ネオンのコンチェルト
[Astra Yao] Starfall Waltz,[アストラ]星降るワルツ
[Billy] Execution Order,[ビリー]ジャッジメント・オーダー
[Billy] Explosive Bullets,[ビリー]炸裂弾
[Billy],[ビリー]
[Billy] Gunslinger Time,[ビリー]ガンマンズタイム
[Billy] Judgement by Eradication,[ビリー]スイーパー・ジャッジメント
[Billy] Mysterious Transmorpher,[ビリー]謎の変身装置
[Billy] Overwhelming Firepower,[ビリー]火力制圧
[Billy] Paintball Round,[ビリー]追加「砲」酬
[Billy] Rotating Drivetrain,[ビリー]回転駆動装置
[Bundle Code] Bug Shield,[ギフトコード]バグシールド
[Bundle Code] Falling Starsea Armor,[ギフトコード]スペースデストロイヤーアーマー
[Bundle Code] Like & Subscribe Gun,[ギフトコード]いいね銃
[Bundle Code] Lone Woof Bandana,[ギフトコード]「有機のバンダナ」
[Bundle Code] Mask No.10,[ギフトコード]10番仮面
[Bundle Code],[ギフトコード]
[Bundle Code] Super Fusion Metal Dentures,[ギフトコード]超合金義歯
[Bundle Code] Ultra Sacred Sword of Radiance,[ギフトコード]ウルトラシャイニングセイバー
[Bundle Code] VIP Ejection Seat,[ギフトコード]射出式VIP席
[Cinder] Cobalt,「灰燼」-蒼藍
[Combat] Heart Booster,[逆境]強心剤
[Combat] Infusion Bag,[逆境]輸液パック
[Combat] Instant Hormone,[逆境]アドレナリン・ブースター
[Combat] Refreshing Capsule,[逆境]眠気防止カプセル
[Combat],[作戦]
[Combat] Steelskin Pill,[逆境]肉体硬化薬
[Commission] [Lucrative] Seeking partners skilled in combat!,【依頼】【高収入】戦闘力自慢のパートナー募集！
"[Commission] [Post] It's a scam! Everyone, careful!",【依頼】【雑談】倒産の恐れ！みんな気を付けて！
[Commission] [Recruitment] Need for Speed!,【依頼】【才人求む】急募、共に速度の頂へ！
"[Commission] Bad luck, bad luck, leave me be!",【依頼】不幸よ不幸よあっちいけ！
[Commission] Bangboo Operation Logs! Who Knows How?,【依頼】ボンプの行動記録に詳しい人いる？
[Commission] Checking New In-Hollow Building Materials,【依頼】ホロウ内新型建材の検収
[Commission] Checking New In-Hollow Building Materials (Again),【依頼】ホロウ内新型建材の検収・追加
[Commission] Even tiny garbage yearns for love!,【依頼】ミジンコでも恋がしたい！
[Commission] Iconic Scenes,【依頼】名シーン
[Commission] Logistics accident! In URGENT need of a Proxy!!,【依頼】物流事故！プロキシ求む！
[Commission] Missing Bangboo merchants,【依頼】ボンプ商人の失踪
[Commission] My Dadd-E seems to have its own idea of what to do,【依頼】オレっちの「爺i」には自我がある。しかもかなり意識高め
[Commission] My car flipped over! Someone help me!,【依頼】大コケしちまった！大至急救いの手求む！
[Commission] Need someone skilled at exploring weird Hollows,【依頼】奇妙なホロウの調査に精通している者はいるか？
[Commission] Obsidian: Strategic Cooperation,【依頼】オブシディアン：戦略的協力
[Commission] Obsidian: Strategic Eradication,【依頼】オブシディアン：戦略的殲滅
[Commission] Obsidian: Strategic Pioneering,【依頼】オブシディアン：戦略的開拓
[Commission] Obsidian: Strategic Suppression,【依頼】オブシディアン：戦略的制圧
[Commission] Please help me complete explosives testing!,【依頼】爆破実験を手伝ってほしい！
[Commission] Professional Hollow Service★Explosives Repair,【依頼】ホロウ専門サービス★爆破修理
[Commission] Professional Hollow Service★Light Repair,【依頼】ホロウ専門サービス★電球修理
[Commission] Professional Hollow Service★Signal Repair,【依頼】ホロウ専門サービス★信号修理
[Commission] Professional Hollow Service★Spring Repair,【依頼】ホロウ専門サービス★バネ修理
[Commission] Recruiting Partner for Mining Ether Stalagmite,【依頼】エーテル晶柱採掘の協力者募集
[Commission] Searching for the truth!,【依頼】真相を求めて！
"[Commission] Temp wanted, pros only!",【依頼】臨時メンバー募集、経験者歓迎！
[Commission] The Wolf Is Coming,【依頼】「狼」が来た
[Commission] Who's down to score a big one with me?,【依頼】デカいビジネスに興味ある人はいる？
"[Commission Request] [Urgent] Valuable item sought, coordinates Lemnian Hollow Construction Zone",【緊急】【助け求む】高額依頼！探し物、座標はラマニアンホロウの施工エリア
[Common] Burlap,[凡品]粗麻
[Common] Mild Ether Crystal,[凡品]穏やかなエーテル結晶
[Common] Mordant,[凡品]媒染剤
[Common] Porcelume Ore,[凡品]輝磁粗鉱
[Common] Raw Iron,[凡品]銑鉄
[Common] Refined Porcelume Ore,[凡品]輝磁精鉱
[Common] Silk,[凡品]絹布
[Corin] Speed-Cleaning Technique,[カリン]効率的掃除術
[Corin] Tea Break Time,[カリン]ティータイムへ一直線
[Craft] A-Fu,[製造]フク
[Craft] A-Ning,[製造]ネイ[Sēzō] Nei
[Craft] A-Song,[製造]マツ[Sēzō] Matsu
[Craft] A-Yuan,[製造]マル
[Craft] Baddieboo Type I,[製造]カチコミボンプ-Ⅰ型
[Craft] Baddieboo Type II,[製造]カチコミボンプ-Ⅱ型
[Craft] Baddieboo Type III,[製造]カチコミボンプ-Ⅲ型
[Craft] Bubbly,[製造]パオパオ
[Craft] Chirpy,[製造]チュウチュウ
[Craft] Coaliboo - Type I,[製造]炭団子・Ⅰ型
[Craft] Coaliboo - Type II,[製造]炭団子・Ⅱ型
[Craft] Coaliboo - Type III,[製造]炭団子・Ⅲ型
[Craft] Electroboo Type I,[製造]ビリビリボンプ-Ⅰ型
[Craft] Electroboo Type II,[製造]ビリビリボンプ-Ⅱ型
[Craft] Electroboo Type III,[製造]ビリビリボンプ-Ⅲ型
[Craft] Floofy,[製造]モフモフサン
[Craft] Magnetiboo Type I,[製造]クッツキボンプ-Ⅰ型
[Craft] Magnetiboo Type II,[製造]クッツキボンプ-Ⅱ型
[Craft] Magnetiboo Type III,[製造]クッツキボンプ-Ⅲ型
[Craft] Penguinboo Type I,[製造]ペンギンボンプ-Ⅰ型
[Craft] Penguinboo Type II,[製造]ペンギンボンプ-Ⅱ型
[Craft] Penguinboo Type III,[製造]ペンギンボンプ-Ⅲ型
[Craft] Safety,[製造]ゴアンゼン
[Craft] Spotty,[製造]ブチブチ
[Craft] Xiaohuan,[製造]ススグ
[Craft] Xiaoman,[製造]ミチル
[Craft] Xiaoshuo,[製造]サク[Sēzō] Saku
[Craft] Xiaoying,[製造]ホタル
[Critical] Collective Emblem,[会心]レゾサイン[Kaishin] Rezosain
[Critical] Doombringer,[会心]パニックダイナマイト[Kaishin] Panikkudainamaito
[Critical] Duelist,[会心]清算の使者[Kaishin] Sēsan no Shisha
[Critical] Gatling Gun,[会心]ガトリング砲[Kaishin] Gatoringuhō
[Critical] High-Explosive Grenade,[会心]高性能手榴弾[Kaishin] Kōsēnō Jyuryudan
[Critical] Laser Scope,[会心]レーザースコープ[Kaishin] Rēzāsukōpu
[Critical] Lightweight Buttstock,[会心]軽量銃床[Kaishin] Kēryo Jyusho
[Critical] Muzzle Compensator,[会心]コンペンセイター[Kaishin] Conpensētā
[Critical] RPG Shell,[会心]RPGロケット弾[Kaishin] RPG Rokettodan
[Critical],[会心]
[Critical] Sawn-Off Shotgun,[会心]ソードオフショットガン[Kaishin] Sōdoofushottogan
[Critical] Sniper Scope,[会心]ライフルスコープ[Kaishin] Raifurusukōpu
[Critical] Spare Magazine,[会心]予備マガジン[Kaishin] Yobimagajin
[Critical] Tactical Goggles,[会心]軍用ゴーグル[Kaishin] Gunyōgōguru
[Critical] Weapon Crate,[会心]武器箱[Kaishin] Bukibako
[DON'T] It's haunted again! Stay away from this resort at all costs!,【注意喚起】また怪奇現象！？このリゾートには絶対に来ないで！
[Dexterity] Advanced Chassis,[機敏]最先端のシャーシ[Kimin] Saisentan no Shāshi
Card,カードKādo
[Dexterity] Efficient Bumper,[機敏]高性能グリルガード
[Dexterity],[機敏]
[Dexterity] Protective Safety Belt,[機敏]シートベルト
[Dexterity],[機敏]
[Dexterity] Safety Airbag,[機敏]エアバッグ
[Dexterity] Sensitive Gear,[機敏]機敏なギア
[Dexterity] Smart Buffer,[機敏]スマートバッファー
[Dexterity] Talisman of Five Realms,[機敏]五界天符
[Dexterity] Zone Energy Shield,[機敏]チャージシールド
[Dialyn] Deathrattle Toll,[ダイアリン]死者のコール
[Dialyn] Dying Descent,[ダイアリン]滅びの裁き
[Dialyn] Ringing Aftertone,[ダイアリン]舞い巡る余韻
"[Discussion] Gotta say, this level of haunting is kinda fun...",【雑談】このくらいの幽霊騒ぎなら、ちょっと楽しいかも…
[Discussion] What food rations should I take into the Hollow?,【エージェント集合】ホロウに入る時はどんな非常食を持って行くべきですか？
[Dodge] Collective Emblem,[回避]レゾサイン
[Dodge] Diving Goggles,[回避]水メガネ
[Dodge] Exercise Stopwatch,[回避]ストップウォッチ
[Dodge] Fencing Sword,[回避]軽やかなフルーレ
[Dodge] Hard Hat,[回避]防護用ヘルメット
[Dodge] Killer Paddle,[回避]必殺ラケット
[Dodge] Magnetic Dart,[回避]マグネットダーツ
[Dodge],[回避]
[Dodge] Rugby Ball,[回避]ラグビーボール
[Dodge] Shuttlecock,[回避]バドミントン
[Dodge] Skate Shoes,[回避]スケートシューズ
[Dodge] Skateboard,[回避]スケートボード
[Dodge] Skis,[回避]スノーボード
[Dodge] Sneakers,[回避]エアクッションスニーカー
[Dodge] Sports Shades,[回避]スポーツゴーグル
[Dodge] Tennis Racket,[回避]テニスラケット
[Dodge] Yoga Ball,[回避]ヨガボール
[Duel] Baseball Bat,[決闘]野球バット
[Duel] Bench,[決闘]観客席のベンチ
[Duel] Brass Knuckles,[決闘]メリケンサック
[Duel] Ceramic Vase,[決闘]陶器製の花器
[Duel] Chain Mace,[決闘]スレッジハンマー
[Duel] Collective Emblem,[決闘]レゾサイン
[Duel] Ergonomic Brick,[決闘]手ごろなレンガ
[Duel] Gong of Jubilation,[決闘]祭り用のゴング
[Duel] Homemade Spiked Mace,[決闘]お手製釘バット
[Duel] Inflatable Hammer,[決闘]エアーハンマー
[Duel] Joiner's Hammer,[決闘]大工の金槌
[Duel] Nunchucks,[決闘]ヌンチャク
[Duel],[決闘]
[Duel] Rolling Pin,[決闘]のばし棒
[Duel] Shock Gloves,[決闘]ボクシンググローブ
[Duel] Tonfa,[決闘]トンファー[Kettō] Tonfā
[Ellen] Arctic Hunt,[エレン]薄氷の巡狩
[Ellen] Blade of Frost,[エレン]フロストバイト
[Ellen] Blade of Frost: Advanced,[エレン]フロストバイト・進境
[Ellen] Blizzard Trim,[エレン]吹雪剪定法
[Ellen] Blood-Seeking Fangs,[エレン]血に飢えた牙
[Ellen] Dangerous Bearings,[エレン]危険なベアリング
[Ellen] Everwinter Windtrace,[エレン]常冬の嵐跡
[Ellen],[エレン]
[Ellen] Hunter's Fin,[エレン]捕食者の背鰭
[Ellen] Icy Blade Execution,[エレン]霜鋒の捕縛
[Ellen] Mist Tide Resurgence,[エレン]潮霧の逆流
[Energy] Bomb Cola,[エネルギー]ボムコーラ
[Energy] Captain Cow,[エネルギー]キャプテン・モウ
[Energy] Collective Emblem,[エネルギー]レゾサイン
[Energy] Leman,[エネルギー]レマン
[Energy] Master Tin's Premium,[エネルギー]ティンズコーヒー
[Energy] Mr. Bright's Probiotics,[エネルギー]ホワイトンの善玉菌
[Energy] Neon Cola,[エネルギー]ネオンコーラ[Enerugi] Neonkōra
[Energy] Orange God,[エネルギー]オレンジゴッド
[Energy] Power Up,[エネルギー]エレキスエット
[Energy] Raging Taurine,[エネルギー]覚醒タウリン[Enerugi] Kakusē Taurin
[Energy],[エネルギー]
