en,ja
[Hollow] Bubble Gun,[ホロウ]シャボン玉マシーン
[Hollow] Toy Trumpet,[ホロウ]おもちゃのラッパ
[Hollow] Spray Paint,[ホロウ]スプレー缶
[Hollow] Bangboo Pillow,[ホロウ]ボンプの抱き枕
[Hollow] Toy Castle,[ホロウ]お城の積み木
[Hollow] Sword Catalog,[ホロウ]名刀図鑑
[Hollow] Herbarium,[ホロウ]植物標本図鑑
[Hollow] Toy Laser Blade,[ホロウ]おもちゃのレーザーソード
[Hollow] Battle Spinner,[ホロウ]バトルコマ
[Hollow] Insect Catalog,[ホロウ]昆虫図鑑
[Hollow] Funny Alarm,[ホロウ]オモシロ目覚まし時計
[Hollow] Ordinary Card Pack,[ホロウ]通常版カードパック
[Hollow] Exclusive Card Pack,[ホロウ]秘蔵版カードパック
[Hollow] Giveaway CD,[ホロウ]付録CD
[Hollow] Deluxe Surprise Box,[ホロウ]厳選ブラインドボックス
[Hollow] Toy Stethoscope,[ホロウ]おもちゃの聴診器
[Hollow] Kaleido Flashlight,[ホロウ]カラフルな懐中電灯
[Hollow] Toy Ambulance,[ホロウ]おもちゃの救急車
[Hollow] Paper Crane,[ホロウ]千羽鶴
[General] Hero's Cape,[汎用]勇者のマント
[General] Cat Comb,[汎用]猫用ブラシ
[General] Bag of Salt,[汎用]袋いっぱいの塩
[General] Duel Invitation,[汎用]決闘の果たし状
[General] Mosquito Swatter,[汎用]蚊取りラケット
[General] Eerie Mask,[汎用]怪奇劇の鬼面
[General] Best Man's Bowtie,[汎用]アッシャーの蝶ネクタイ
[General] Basketball Tactical Board,[汎用]バスケの作戦ボード
[General] Rusted Shackles,[汎用]錆びた枷
[General] Disposable Gloves,[汎用]使い捨て手袋
[General] Guide's Flag,[汎用]ツアーガイドの手旗
[General] Insecticide,[汎用]強力殺虫剤
[General] Fruit Peeler,[汎用]ピーラー
[General] Wooden Slingshot,[汎用]枯れ枝のパチンコ
[General] Scarlet Goblet,[汎用]深紅のグラス
[General] Antique Pocket Watch,[汎用]古い懐中時計
[General] Dog Tags,[汎用]ドッグタグ
[General] Aromatic Candle,[汎用]アロマキャンドル
[General] Zoom Lens,[汎用]ズームレンズ
[General] Sashimi Knives,[汎用]刺身包丁
[General] Heavy Knives,[汎用]中華包丁
[General] Miracle Starlight,[汎用]ミラクルスターライト
[General] Eternal Starlight,[汎用]エターナルスターライト
[General] Radiant Starlight,[汎用]ラディアントスターライト
[Hollow] Cat Ears Headset,[ホロウ]猫耳ヘッドホン
Client with Two Tails,二又の依頼人
Explosive Last Train,終電爆裂
Earlybird Ticket to Safety,先行避難チケット
Soukaku,蒼角
Drive Disc,ドライバディスク
Stats,ステータス
Attribute,属性
Specialty,特性
Phaethon's Database,パエトーン図鑑
Grace Howard,グレース・ハワード
Alexandrina Sebastiane,アレクサンドリナ・セバスチャン
Ellen Joe,エレン・ジョー
Attribute Anomaly,状態異常
ATK,攻撃力
DEF,防御力
CRIT Rate,会心率
CRIT DMG,会心ダメージ
PEN,貫通値
PEN Ratio,貫通率
Energy Regen,エネルギー自動回復
Inter-Knot Credit,クレジット
Polychrome,ポリクローム
Battery Charge,バッテリー
W-Engine,音動機
Zhu Yuan,朱鳶
Criminal Investigation Special Response Team,特務捜査班
New Eridu Public Security,新エリー都治安局
Decibels,デシベル
Slice of Time,歳月の薄片
Boopon,ボンプチケット
Signal Search,変調
Master Tape,未加工マスターテープ
Encrypted Master Tape,暗号化マスターテープ
W-Engine Energy Module,音動機用エネルギーモジュール
Star-Studded Cast,話題のキャスト
W-Engine Battery,音動機用蓄電池
W-Engine Power Supply,周波数変換型音動機電源
Bardic Needle,CDショップ「吟遊ニードル」
Soul Rock,ソウル・ロック
Woodpecker Electro,ウッドペッカー・エレクトロ
Puffer Electro,パファー・エレクトロ
Shockstar Disco,ショックスター・ディスコ
Freedom Blues,フリーダム・ブルース
Hormone Punk,ホルモン・パンク
Swing Jazz,スイング・ジャズ
Inferno Metal,炎獄のヘヴィメタル
Chaotic Metal,混沌のヘヴィメタル
Thunder Metal,霹靂のヘヴィメタル
Polar Metal,極地のヘヴィメタル
Fanged Metal,獣牙のヘヴィメタル
Signal Shop,発信源ストア
City Fund Experience,ファンド経験
Monochrome,モノクローム
Steel Cushion,鋼の肉球
Hellfire Gears,燃獄ギア
Fusion Compiler,複合コンパイラ
The Brimstone,ブリムストーン
The Restrained,拘縛されし者
Weeping Cradle,啜り泣くゆりかご
Riot Suppressor Mark VI,サプレッサーⅥ型
Deep Sea Visitor,ディープシー・ビジター
Street Superstar,ストリートスター
Rainforest Gourmet,密林の食いしん坊
Butler,バトラー
Amillion,アミリオン
Safety,ゴアンゼン
Sons of Calydon,カリュドーンの子
Luciana Auxesis Theodoro de Montefio,ルシアーナ・オクシスィース・テオドロ・デ・モンテフィーノ
Piper Wheel,パイパー・ウィール
New City Visitor's Passport,新都観光パスポート
Cunning Generosity,邪兎の気持ち
Sixth Street Giveaway,六分街からの贈り物
"""En-Nah"" Into Your Lap",棚から「ンナンナ」
Road to Proxy Greatness,「プロ」起死回生の階段
Investigation Point,調査ポイント
Mellow Waveride,気だるげな波
Unswerving Bullet,朱弦が如き実直
Angels of Delusion,「妄想エンジェル」
An Outstanding Partner,優秀なパートナー
Bangboo System Widget,ボンプ用システムウィジェット
Official Investigator Log,正式調査員の記録
Senior Investigator Log,ベテラン調査員の記録
Trainee Investigator Log,見習い調査員の記録
Dissonant Sonata,喧噪のソナタ
Resonaboo,レゾナンボンプ
Sharkboo,ガブットボンプ
Rocketboo,ハヤスギボンプ
Residual Signal,余波シグナル
Fire,炎属性
Electric,電気属性
Physical,物理
Rookie on the Road,「新米」オンザロード
Eridu Frontier,エリー都防衛ライン
Bangvolver,リボルバボンプ
Plugboo,プラグノボンプ
The Zero Zone,心「零」現象
Just Another Day at the Video Store,ビデオ屋のありふれた一日
A Call From the Hollow's Heart (A),ホロウの中心で…を叫んだ？（上）
A Call From the Hollow's Heart (B),ホロウの中心で…を叫んだ？（下）
Mission Unthinkable (A),「非常なる任務」（上）
Mission Unthinkable (B),「非常なる任務」（下）
The Midnight Pursuit (A),危うし、高楼の夜（上）
The Midnight Pursuit (B),危うし、高楼の夜（下）
Basic Attack: Full Firepower,通常攻撃：出力全開
Achievements,アチーブメント
A Ridu Journey,エリー旅
Where Daily Check-Ins Begin,日課の始まり
New Eridu City Fund,エリーファンド
Compendium,クイック手帳
Combat Simulation,模擬実戦
Video Archive,映像アーカイブ
Sixth Street,六分街
HIA Club,HIAセンター
141 Convenience Store,雑貨店「141」
Godfinger,「GOD FINGER」
Waterfall Soup,「麺屋錦鯉」
Coff Cafe,COFF CAFE
Sixth Street Station,六分街駅
Metro Station,地下鉄駅
Agent Story,エージェント秘話
Dash Attack: Oopsy-Daisy!,ダッシュ攻撃：『断』
Basic Attack: Wipeout,通常攻撃：お掃除開始
Stun,撃破
Basic Attack: Cunning Combo,通常攻撃：邪兎の連打
Qingyi,青衣
Energy Transfer Fluid,エネルギー循環液
Bangboo Software Patch,ボンプ用ソフトウェアパッチ
Bangboo Algorithm Module,ボンプ用アルゴリズムモジュール
Tsukishiro Yanagi,月城柳
Asaba Harumasa,浅羽悠真
Bashful Demon,恥じらう悪面
Big Cylinder,ビガー・シリンダー
Bunny Band,ラビットチャージャー
Cannon Rotor,キャノンローラー
Demara Battery Mark II,デマラ式電池Ⅱ型
Drill Rig - Red Axis,ドリルリグ-レッドシャフト
Electro-Lip Gloss,電撃リップグロス
Housekeeper,ハウスキーパー
Kaboom the Cannon,喧嘩腰のボンバルダム
Original Transmorpher,正規版変身装置
Precious Fossilized Core,貴重な石化コア
Roaring Ride,グロウル・マイ・カー
Six Shooter,シックスシューター
Spring Embrace,ホットスプリング
Starlight Engine,スターライトエンジン
Starlight Engine Replica,なんちゃってスターライトエンジン
Steam Oven,まな板の鯉
The Vault,ザ・ボールト
Unfettered Game Ball,ゲームボール
Weeping Gemini,双生の涙
Lumina Square,ルミナスクエア
Autonomous Support Unit - Heavy Striker,自律補助ユニット・「重装ストライカー」
Core Passive: Guardian,コアパッシブ：守護
Heavy Gunner,重装砲兵
Guard Jaeger,守備猟兵
Rookie Jaeger,新米猟兵
The Ultimate Collectibles,超ド級のとっておき
Inter-Knot Level,インターノットレベル
Scott Outpost,スコット前哨基地
Brant Street Construction Site,黒雁街跡地
Basic Attack: Moon Hunter,通常攻撃：月下遊猟
Autonomous Support Unit - Lightfoot Rover,自律補助ユニット・「駿足ローバー」
Officer Mewmew,にゃんきち長官
Void Hunter,虚狩り
Dead End Butcher,デッドエンドブッチャー
Unknown Corruption Complex,未確認複合侵蝕体
Notorious Hunt,要警戒狩り
Video Store,ビデオ屋
"""Sunbringer""",「サンブリンガー」
Memory Board,思い出コレクション
Dodge Counter: Nope!,回避反撃：『捨』
Quick Assist: Emergency Measures,クイック支援：応急処置
Defensive Assist: P&mdash;Please allow me!,パリィ支援：わ、私がやります！
Assist Follow-Up: Quick Sweep,支援突撃：テキパキお掃除
Special Attack: Clean Sweep,特殊スキル：強力清掃
EX Special Attack: Skirt Alert,強化特殊スキル：スカートの裾に注意
Chain Attack: Sorry...,連携スキル：ごめんなさい…
"Ultimate: Very, Very Sorry!",終結スキル：も、申し訳ございません！
Sage in a Barrel,箱の賢者
Seth Lowell,セス・ローウェル
Joyous,ジョイアス
Vike,ヴァイク
Dan,ダン
Hollow Codex,ホロウ見聞
Arche,アーチ
Workbench,作業台
Partner Archive,協力者ファイル
Ultimate: Mission Complete,終結スキル：使命を果たす
Mindscape Cinema,心象映画
Core Passive: Hyperfocus,コアパッシブ：集中
Ahriman,アフリマン
Mandrake,マンドレイク
Inter-Knot Membership,インターノット会員
Sweetcakes That Never Expire,賞味期限の切れないお団子
Until Your Memory Fades,あなたさまがすべて忘れ去るまで
Dash Attack: Keep it Clean,ダッシュ攻撃：清潔を保つ
Dodge Counter: Etiquette Manual,回避反撃：礼儀の躾
Chain Attack: As You Wish,連携スキル：御意に
Marcel Group,マルセルグループ
Chain Attack: Avalanche,連携スキル：雪崩
Ultimate: Endless Winter,終結スキル：終わりなき冬の狂宴
Saw Teeth Trimming,鋭牙剪定法
High-Pressure Spike,高圧ネイルガン
Dash Attack: Quick Inspection,ダッシュ攻撃：抜き打ち検査
Dodge Counter: Violation Penalty,回避反撃：違反罰則
Quick Assist: Incident Management,クイック支援：ヒヤリハット対策
Assist Follow-Up: Counter Volt Needle,支援突撃：反撃の電気針
Special Attack: Obstruction Removal,特殊スキル：障害撤去
EX Special Attack: Supercharged Obstruction Removal,強化特殊スキル：規格外障害撤去
Core Passive: Pre-Driven Needle,コアパッシブ：プリドライバ撃針
Collaborative Construction,協同施工
Demolition Blast - Beware,発破作業中立入禁止
Quick Assist: Wolf Pack,クイック支援：群狼
Defensive Assist: Disrupted Hunt,パリィ支援：狩りへの介入
Assist Follow-Up: Vengeful Counterattack,支援突撃：復讐の反攻
Special Attack: Time to Hunt,特殊スキル：狩人の刻
EX Special Attack: Thrill of the Hunt,強化特殊スキル：人狼の刻
Core Passive: Metallic Paws,コアパッシブ：フルメタル・レッグ
North,ノス
Kami,カミ
Kami North,カミノス
Jane Doe,ジェーン・ドゥ
Basic Attack: Whack the Dimwit,通常攻撃：アホを痛めつけろ
Shoo the Fool,マヌケを追い払え
Dash Attack: Sudden Surprise,ダッシュ攻撃：いきなりビックリ
Dodge Counter: Bangboo Callback,回避反撃：ボンプ回生
Duple Meter Allemande,二拍子のアルマンド
Quadruple Meter Gavotte,四拍子のガヴォット
Beat the Blockhead,おバカをぶっ叩け
Chain Attack: Code of Conduct,連携スキル：侍者の心得
Dimwit Disappearing Trick,おバカ消失魔法
Ultimate: The Queen's Attendants,終結スキル：女王の侍従たち
Core Passive: Mini Destruction Partner,コアパッシブ：ちょっとした壊滅のオトモ
Shiyu Defense,式輿防衛戦
Basic Attack: Flash Freeze Trimming,急凍剪定法
Dash Attack: Arctic Ambush,ダッシュ攻撃：薄氷の急襲
Monstrous Wave,荒波
Dash Attack: Cold Snap,ダッシュ攻撃：寒潮
Reef Rock,暗礁
Quick Assist: Shark Sentinel,クイック支援：護衛シャーク
Assist Follow-Up: Shark Cruiser,支援突撃：巡洋シャーク
Defensive Assist: Wavefront Impact,パリィ支援：向かい波
Core Passive: Sharp-Toothed,コアパッシブ：口がおジョーズ
Special Attack: Drift,特殊スキル：尾びれビンタ
EX Special Attack: Tail Swipe,強化特殊スキル：一掃
EX Special Attack: Sharknami,強化特殊スキル：シャーク・トルネード
Basic Attack: Don't Move!,通常攻撃：動くな！
Basic Attack: Please Do Not Resist,通常攻撃：抵抗はやめなさい
Special Attack: Buckshot Blast,特殊スキル：バックショット
EX Special Attack: Full Barrage,強化特殊スキル：全弾連射
Dash Attack: Firepower Offensive,ダッシュ攻撃：火力奇襲
Dash Attack: Overwhelming Firepower,ダッシュ攻撃：火力制圧
Dodge Counter: Fire Blast,回避反撃：火力バースト
Quick Assist: Covering Shot,クイック支援：火力援護
Assist Follow-Up: Defensive Counter,支援突撃：正当防衛
Chain Attack: Eradication Mode,連携スキル：殲滅モード
Ultimate: Max Eradication Mode,終結スキル：殲滅モードMAX
Core Passive: Special Ops Ammunition,コアパッシブ：特殊弾薬
Basic Attack: Turbo Volt,通常攻撃：ボルトターボ
Basic Attack: Thunderbolt,通常攻撃：落雷
Special Attack: Fork Lightning,特殊スキル：電光斬り
EX Special Attack: Lightning Bolt,強化特殊スキル：蒼雷斬り
Dash Attack: Taser Blast,ダッシュ攻撃：電弧斬り
Quick Assist: Thunderfall,クイック支援：雷呼
Chain Attack: Electro Engine,連携スキル：ソレノイドエンジン
Ultimate: Overdrive Engine,終結スキル：オーバードライブエンジン
Core Passive: Fluctuating Voltage,波動電圧
Red Fang Gang,赤牙組
Dodge Counter: Thunderclap,回避反撃：迅雷
Defensive Assist: Flash,パリィ支援：電光一閃
Assist Follow-Up: Lightning Whirl,支援突撃：スピニングサンダー
Basic Attack: Lady's Bat,通常攻撃：淑女のおバット
Guard Boars: To Arms!,イノシシ親衛隊：エモノを構えなさい！
Guard Boars: Spinning Swing!,イノシシ親衛隊：回転打法！
Dodge Counter: Returning Tusk!,回避反撃：牙を剥く！
Dash Attack: Fearless Boar!,ダッシュ攻撃：猪突豪勇！
Core Passive: Crimson Mane Guard,コアパッシブ：赤鬣親衛隊
Quick Assist: Hit By Pitch!,クイック支援：デッドボール！
Defensive Assist: Safe on Base!,パリィ支援：セーフ！
Assist Follow-Up: Scored a Run!,支援突撃：ホームイン！
Special Attack: Solid Hit!,特殊スキル：ヒット！
Thiren,シリオン
EX Special Attack: Home Run!,強化特殊スキル：ホームラン！
Cheer On!,かっとばせ！
Chain Attack: Grand Slam!,連携スキル：満塁ホームラン！
Ultimate: Walk-Off Home Run!,終結スキル：サヨナラホームラン！
Do As I Please,思うがままに
Sugarcoated Bullet,シュガーボム
EX Special Attack: Stuffed Sugarcoated Bullet,強化特殊スキル：シュガーボム・サンド
Jack in the Box,開けてビックリ
Diverted Bombard,牽制砲撃
Chain Attack: Ether Shellacking,連携スキル：高級エーテルボム
Emergency Bombard,救急砲撃
The Hare Strikes Back!,邪兎の出番！
Window of Opportunity,虚に乗ずる
Ultimate: Ether Grenade,終結スキル：特製エーテルグレネード
Core Passive: Mechanical Case,コアパッシブ：からくり箱
Do As I Please,思うがままに
Dodge: Suitable Positioning,回避：弁えた所作
Additional Ability: Elegant Predator,追加能力：優雅なる狩人
Dodge: Slide,回避：スライドステップ
Dodge: Vortex,回避：渦
Dash: Roaming Hunt,ダッシュ：狩り遊ぶ
Flash Freeze,急凍
Additional Ability: Parallel Connection,追加能力：並列回路
Additional Ability: Rising Storm,追加能力：ライジングストーム
Dodge: Shoo!,回避：『離』
Additional Ability: Cleanup Assistance,追加能力：お掃除ヘルパー
Dodge: Foul Ball!,回避：ファール！
Additional Ability: Batter Up!,追加能力：打席に立て！
Dodge: Dress Adjustment,回避：裾のシワを伸ばして
Evasive Assist: Triple Meter Courante,回避支援：三拍子のクーラント
Additional Ability: Banquet of Perfection,追加能力：完美なる舞踏会
Dodge: Speed Demon,回避：脱兎
Additional Ability: Hare of Many Burrows,追加能力：狡兎三窟
Dodge: Safety Regulation,回避：安全規程
Additional Ability: Tech Support Dept.,追加能力：技術支援チーム
Evasive Assist: Rapid Risk Response,回避支援：快速リスク対応
Additional Ability: Tactical Coordination,追加能力：武装間連携
Evasive Assist: Guarded Backup,回避支援：警戒援護体制
Dodge: Tactical Detour,回避：迂回
Basic Attack: Warmup Sparks,通常攻撃：抜刀散火
Basic Attack: Fire Suppression,通常攻撃：火力鎮圧
Dodge: Tempered Fire,回避：焼鈍し
Dash Attack: Blazing Fire,ダッシュ攻撃：熾火
Dash Attack: Fire Suppression,ダッシュ攻撃：火力鎮圧
Dodge Counter: Backdraft,回避反撃：逆火
Defensive Assist: Hold the Line,パリィ支援：防衛ライン強化
Quick Assist: Covering Fire,クイック支援：火力支援
Assist Follow-Up: Reignition,支援突撃：再燃
Dodge: Risky Business,回避：危ねぇ危ねぇ！
Special Attack: Raging Fire,特殊スキル：烈火
EX Special Attack: Fervent Fire,強化特殊スキル：燃え盛る烈火
Dash Attack: Starlight Sanction,ダッシュ攻撃：スターライトジャッジメント
Dodge Counter: Fair Fight,回避反撃：フェアな決闘
Chain Attack: Uplifting Flame,連携スキル：滾る烈火
Quick Assist: Power of Teamwork,クイック支援：スターライト・絆の力
Ultimate: Bellowing Flame,終結スキル：轟く烈火
Evasive Assist: Flash Spin,回避支援：ダッジステップ
Assist Follow-Up: Fatal Shot,支援突撃：急所エイム
Core Passive: Heatwave,コアパッシブ：熱波
Additional Ability: Fields of Fire,追加能力：燎原
Special Attack: Stand Still,特殊スキル：大人しくしてろ！
EX Special Attack: Clearance Time,強化特殊スキル：スイーパー・タイム
Chain Attack: Starlight Mirage,連携スキル：スターライトグローリー
"Ultimate: Starlight, Shine Bright",終結スキル：スターライト、ここに輝く！
Additional Ability: Team Starlight,追加能力：スターライト戦隊
Core Passive: Steady Shot,コアパッシブ：射撃姿勢
Basic Attack: Load Up and Roll Out,通常攻撃：発車するぜい
Dodge: Handbrake Drift,回避：ハンドブレーキ・ドリフト
Dash Attack: Pedal to the Metal,ダッシュ攻撃：アクセルひと踏み
Dodge Counter: Power Drift,回避反撃：パワー・ドリフト
Quick Assist: Brake Tap,クイック支援：ポンピングブレーキ
Defensive Assist: Emergency Brake,パリィ支援：極限ブレーキ
Assist Follow-Up: Overtaking Maneuver,支援突撃：コーナーで差をつけるぜい
Special Attack: Tire Spin,特殊スキル：タイヤくるくる
Special Attack: One Trillion Tons,特殊スキル：億劫な重さ
EX Special Attack: Engine Spin,強化特殊スキル：エンジンぶんぶん
EX Special Attack:&nbsp;Really Heavy,強化特殊スキル：兆、重たい
Chain Attack:&nbsp;Buckle Up,連携スキル：シートベルト！
Ultimate: Hold~ On~ Tight~,終結スキル：しっかり掴まってろ～！
Core Passive: Power Charge,コアパッシブ：パワーチャージ
Additional Ability: Synced Acceleration,追加能力：一緒に飛ばそうぜい
Basic Attack: Kitty Slash,通常攻撃：猫の引っ掻き
Basic Attack: Crimson Blade,通常攻撃：赤き刃
Dodge: Can't Touch Me-ow~,回避：当たんないにゃ～
Dash Attack: Over Here!,ダッシュ攻撃：どこを見てるの？
Dodge Counter: Phantom Claws,回避反撃：ファントムクロー
Quick Assist: Cat's Paw,クイック支援：猫の手貸すぞ☆
Defensive Assist: Desperate Defense,パリィ支援：抗ストレス反応
Basic Attack,通常攻撃
Assist Follow-Up: Shadow Strike,支援突撃：迅影
Special Attack: Surprise Attack,特殊スキル：奇襲
EX Special Attack: Super Surprise Attack!,強化特殊スキル：めちゃコワ奇襲！
Chain Attack: Claw Swipe,特殊スキル：奇襲
Ultimate: Claw Smash,終結スキル：クロースマッシュ
Core Passive: Stealthy Paws,コアパッシブ：猫の忍び足
Additional Ability: Catwalk,追加能力：キャットウォーク・ショー
Basic Attack: Making Rice Cakes,通常攻撃：餅つき
Basic Attack: Making Rice Cakes (Frosted Banner),通常攻撃：餅つき（霜染の刃旗）
Dodge: Grab a Bite,回避：拾い食い
Dash Attack: 50/50,ダッシュ攻撃：半分こね！
Basic Attack: Enthusiastic Drills,通常攻撃：熱血準備体操
Basic Attack: Enthusiastic Drills (Burst Mode),通常攻撃：熱血準備体操（爆発状態）
Dodge: Let's Move,回避：体を動かせ！
Dash Attack: Fire With Fire,ダッシュ攻撃：正面衝突
Dodge Counter: Retaliation,回避反撃：拳骨応酬
Dodge Counter: Overload Drill (Burst Mode),回避反撃：オーバーロード・ドリルブレイク（爆発状態）
Quick Assist: Shoulder-To-Shoulder,クイック支援：肩を並べて
Quick Assist: Protective Drill (Burst Mode),クイック支援：サポート・ドリルブレイク（爆発状態）
Defensive Assist: Iron Wrist,パリィ支援：鉄腕
Assist Follow-Up: Limit Burst,支援突撃：極限突進
Dash Attack: 50/50 (Frosted Banner),ダッシュ攻撃：半分こね！（霜染の刃旗）
Dodge Counter: Away From My Snacks,回避反撃：おやつはあげないっ！
Quick Assist: A Set for Two,クイック支援：2人前
Defensive Assist: Guarding Tactics,パリィ支援：ディフェンス戦術
Assist Follow-Up: Sweeping Strike,支援突撃：巻き込み打撃
"Special Attack: Spin, Bro!",特殊スキル：回れ、兄弟！
Special Attack: Explosive Drill (Burst Mode),特殊スキル：バースト・ドリルブレイク（爆発状態）
"EX Special Attack: Smash the Horizon, Bro!",強化特殊スキル：兄弟、天を衝け！
Chain Attack: Go Go Go!,連携スキル：回れ回れ！
Ultimate: Go Go Go Go Go!,終結スキル：回れ！回れ！！回れ！！！
Core Passive: Brothers in Arms!,コアパッシブ：兄弟と一つに！
Additional Ability: Teamwork,追加能力：一致協力
Special Attack: Cooling Bento,特殊スキル：おべんとフーフー
EX Special Attack: Fanning Mosquitoes,強化特殊スキル：ハエたたき
Special Attack: Rally!,特殊スキル：しゅーごー！
Chain Attack: Pudding Slash,連携スキル：カツ・モツ・斬！
Ultimate: Jumbo Pudding Slash,終結スキル：カツ・モツ・斬！大盛り！
Core Passive: Blade Banner,コアパッシブ：刃旗激励
Additional Ability: Group Set Meal,追加能力：ケータリングセット
