The Past Lost Beneath the Abyss,"The Adrenaline cost to activate Yidhari's EX Special Attack is reduced by 10. After using EX Special Attack: Frost Coil or EX Special Attack: Glacial Crush , keeping hold of the Basic Attack or Special Attack button consumes 35 Adrenaline to forgo healing and immediately chain into another EX Special Attack: Glacial Crush . The HP restored by this EX Special Attack: Glacial Crush is increased by 100% of the original value. Yidhari's Basic Attacks and EX Special Attacks ignore 20% of targets' Ice RES . She plunged into an unfathomable abyss. —What is this place, and where will it carry her? The moment doubt arose, a voice whispered from the darkness: ""This is the realm of the unknown, opening the path to all that is known."" Endless shadows tumbled down with her. —Who are they, and why do their shadows fall here? As the question rose in her thoughts, the voice replied once more: ""They are those cut off from fate. What falls here are the remnants of their past."" And so, the little girl hugged herself in solitude, carried downward by countless bygone memories. Her eyes widened in bewilderment, seeing only cold, stillness, and loneliness blooming at the bottom of the abyss.",深き淵に沈む過去,イドリーの『強化特殊スキル』発動に必要なアドレナリン-10Pt。 『強化特殊スキル：氷霜』または『強化特殊スキル：極寒・重砕』の発動後、『通常攻撃』または『特殊攻撃』ボタンを長押しすることで、アドレナリンを35Pt消費して、HPの回復ではなく即座に1回の『強化特殊スキル：極寒・重砕』に繋げることが可能、今回の『強化特殊スキル：極寒・重砕』によるHP回復量は追加で+100%。 イドリーの『通常攻撃』、『強化特殊スキル』はターゲットの 氷属性ダメージ耐性 20%を無視する。 彼女は底知れない秘境へと落ちていく。 ——わたしはいま、どこに向かっているのかしら？ そんな疑問が浮かんだ時、闇の中から答えが響く。 「ここは未知なる場所、全てを知る場所へと続いている」 人の形をした無数の影が彼女と共に落ちていく。 重なり合い、終わりなどないかのように落ちていく。 ——この人たちはだれ？どうしてこんなにたくさんいるの？ そんな疑問が脳裏をよぎると、声は再び告げる。 「彼らは運命を断たれた者たち、ここに落ちるは彼らの過去」 そうして孤独な少女は小さく身体を縮め、数えきれない過去の記憶に包まれながら、落ち続ける。 彼女は呆然と目を見開き、底を見つめた。 深淵の底に咲き誇るのは、死のように静かで、冷たい孤独だらけだ。
"Who Lingers Here, Lost in Thought?","Yidhari's CRIT DMG increases by 40%. Triggering Surging Cold or Crushing Pursuit grants Adrenaline regen of 0.5/s for up to 30s. Repeated triggers reset the duration. In the darkness lay the girl's slumbering thoughts. They were not innocent daydreams, nor carefree flights of fancy. Her mind was fixed on the memories she had witnessed. ""What must I do? What must I bear?"" ""Good thing it's me, and not someone else."" ""I know how to deal with being alone... I think."" As she sifted through those pasts, the girl calmly accepted this heavy gift.",思いを馳せるのは誰,イドリーの会心ダメージ+40%。「寒風」または「追砕」の発動に成功すると、アドレナリンを持続的に回復する、1秒ごとに+0.5Pt。 この効果は最大30秒継続する、重複して発動すると継続時間が更新される。 闇の中でまどろむのは、少女の思い。 無邪気な白昼夢などではなく、自由気ままな空想でもない。 彼女は過去を見つめ、思いを巡らせる。 「わたしに何ができるの？わたしに何を背負って欲しいっていうの…？」 「でも、ここに落ちたのが他の誰かじゃなく、わたしでよかった…」 「孤独と向き合うのは得意だから…たぶん」 膨大な数の過去を、本のようにめくっていく。 少女は大きな代償が伴うこの才能を、静かに受け入れた。
A Story Without an Audience,"Basic Attack , Dodge , Assist , Special Attack , and Chain Attack Lv. +2 So this is what humanity is — such a complex existence. A lifetime can hold so much joy, and just as much sorrow. Yet now, all of it has fallen into this void, to be swallowed, erased, and buried. No one will ever care again for those joyful laughs, or those grief-stricken cries. Still... every one of those untold stories has been etched into this abyss of the soul.",聴衆なき物語,『通常攻撃』、『回避』、『支援スキル』、『特殊スキル』、『連携スキル』のスキルレベル+2 人間は、こんなにも複雑な存在だったのね… 一生のうちに、これほどの喜びと、あれほどの悲しみを抱くことができる。 けれど今や、すべてがこの虚無へと落ちていき、飲み込まれ、かき消され、葬られようとしている。 この歓びに満ちた笑い声も、あの悲痛な泣き声も、もう誰も気に留めてあげられない… …けれど、誰にも聞かれない物語の数々は、わたしの心に深く、深く刻まれるから。
Blooming in Silence,"Yidhari gains 10% more Decibels when losing HP for Core Passive: Dreamscape Collection . While in Ether Veil: Wellspring , Yidhari's Max HP is further increased by 5%. The flower trembled as it bloomed in the dark, white and translucent, as though it reflected the lone light of the abyss's depths. —It was, in truth, a soul, fragile yet unyielding. Amid the countless falling shadows, amid the flood of cascading memories... she remained untouched, still blooming with her own strength. But in the end... will she too fade away, drifting with nothing to hold on to?",静寂の中で咲き誇る,『コアパッシブ：夢掬いの空想』でHPがダウンした時、イドリーが獲得するデシベル値+10%。 「エーテルベール・湧泉」効果を受けている時、イドリーの最大HPが追加で+5%。 その花は闇の中で震えながら咲いている。 白くて透き通るようなその姿は、 まるでこの深淵の底を照らす唯一の光のよう。 ——ああそれは、それは儚くも強い魂だったのだ。 落ちゆく無数の影、何度も打ち寄せる過去の中で… 彼女は闇に染まることなく、なお凛と咲き続けていた。 されど寄る辺なく揺らぐ彼女は、 根無し草のように、いつか儚く消えゆく運命なのだろう…
This Solace Is Real,"Basic Attack, Dodge, Assist, Special Attack, and Chain Attack Lv. +2 ""Such beautiful eyes... am I still inside a dream?"" It was their first meeting, and her first brush with something real. Amid the emptiness and the grotesque, in the barren abyss that threatened to devour everything, she caught sight of those eyes. They were like a hint of green breaking through the burning desert, like a clear spring rising from a parched riverbed. ""I think I've found it... the hope of someone who will willingly respond to me.""",偽りなき慰め,『通常攻撃』、『回避』、『支援スキル』、『特殊スキル』、『連携スキル』のスキルレベル+2 「なんて綺麗な目…わたし、まだ夢の中にいるのかしら…」 それは初めての出会いであり、「真実」との邂逅だった。 虚ろで奇怪、全てを呑みこむ荒んだ深淵で、彼女はその瞳の持ち主と見つめ合った。 それはまるで焼けた砂の海に芽吹いた緑、干上がった川底から湧き出る泉のようだった。 「やっと出会えたのね…わたしの呼びかけに応えてくれる、そんなふうに期待をしてもいい人が…」
"At Last, a Peaceful Dream","After Yidhari spends Decibels to activate or extend Ether Veil: Wellspring , she gains Erudition for 30s. While Erudition is active, her Sheer DMG increases by 25%. Also, upon taking fatal DMG for the first time, her HP is reduced to at most 1, and for the next 5s, she cannot be defeated and will restore 25% HP over time. Immersed in the tide of memories, she had never found even fleeting rest. Her only refuge was solitude, escaping the bustle of the world, losing herself in strange tales, seeking quiet beneath veils of misty rain or within the embrace of warm waters. But now, she can walk calmly among the crowds, no longer troubled by noise or the burning sun, for ""illusion"" no longer binds her spirit, and ""reality"" has become the anchor of her soul.",ついには安らかな夢に,イドリーがデシベル値を消費して「エーテルベール・湧泉」を発動または延長した後、「諦観」を獲得する、継続時間30秒。 「諦観」中、イドリーの与える透徹ダメージ+25%、はじめて致命的なダメージを受けた時、残りHPが1を下回ることはない。5秒の間は致命的なダメージを受けたとしても戦闘不能にならず、持続的に25%のHPを回復する。 うねる過去に溺れていた彼女に、一瞬たりとも安らぎはなかった。 ゆえに孤独に縋るほかなかった——世の喧騒から身を隠し、奇妙な物語に没頭し、朧げな雨に覆われ、あるいは温かな水流に包まれて、束の間の静寂を欲した。 そんな彼女だったが、今は雑踏の中を悠然と通り抜けられるようになった。 喧噪に悩まされることはなく、熱い太陽に怯えることもない。 彼女の精神は「虚構」から解き放たれた。 なぜなら「真実」が、彼女に居場所を与えたから。
Basic Attack: Crushing Strike,"Press  to activate:  Unleashes up to 3 strikes, dealing Ice DMG.  On the 3rd hit, Yidhari recovers 10% HP.",通常攻撃：迷いを砕く重撃, を押して発動： 前方に最大3段の打撃を繰り出し、氷属性ダメージを与える。 3段目が命中した時、イドリーのHP+10%。
Basic Attack: Frostbite Embrace,"Hold  to activate:  Yidhari begins charging, continuously consuming HP to reach up to three levels of charge. When  is released, Yidhari unleashes a powerful charged hammer attack in front based on the current charge level, dealing massive Ice DMG.  The higher Yidhari's HP, the faster charging consumes it. HP consumption will at most reduce Yidhari's HP to 25% of Max HP.  At 2 charge levels, after using the skill, press  to immediately follow up with the 3rd hit of Basic Attack: Crushing Strike. The DMG of a Basic Attack: Crushing Strike triggered this way increases based on the current charge level, up to 30%.  At 3 charge levels, Yidhari gains increased Anti-Interrupt level during the charged skill. Press  to chain early into the finishing smash.",通常攻撃：霜寒の抱擁, 長押しで発動： イドリーがチャージし始める。チャージ中は継続的にHPを消費し、最大3段までチャージ可能。  を離すと、イドリーは現在のチャージ段数に応じて前方に強力なチャージハンマーを振り下ろし、氷属性ダメージを大量に与える。 イドリーのHPが多いほど、チャージによるHP消費速度が速くなるが、HPが最大HPの25%より低くなることはない。 チャージ段数が2に達した時、スキル発動後に  を押すと、そのまま『通常攻撃：迷いを砕く重撃』の3段目に繋げることが可能。この方法で発動した『通常攻撃：迷いを砕く重撃』のダメージは現在のチャージ段数に応じてアップし、最大+30%。 チャージ段数が3に達した時、チャージスキル発動中、中断耐性レベルがアップし、  を押すことで、早めにとどめの落下攻撃に繋げることが可能。
Frost's Crushing Weight,"While charging or spinning during Basic Attack: Frostbite Embrace, if hit by an enemy, Yidhari can block with her tentacles, reducing the DMG taken by 25%.  If charging or not yet at full charge, Yidhari counterattacks with her tentacles, returning to the charging stance and instantly gaining 1 charge level, while also dealing Ice DMG to enemies ahead.  While Frost's Crushing Weight is active, pressing  makes Yidhari immediately unleash the finishing slam of Basic Attack: Frostbite Embrace based on her current charge level.  While Frost's Crushing Weight is active, pressing  or makes Yidhari unleash a Special Attack: Surging Cold, Crushing Pursuit that is guaranteed to trigger Surging Cold.",霜結の束縛,『通常攻撃：霜寒の抱擁』のチャージ中または回転横振り中に敵の攻撃を受けた場合、触手でガードし、被ダメージ-25%。 チャージ中、またはチャージレベルが最大に達していない時に敵の攻撃を受けた場合、触手を利用して敵に反撃した後、チャージ態勢に戻り、即座にチャージレベルが1段上がって、前方の敵に氷属性ダメージを与える。 「霜結の束縛」状態中、  を押すと、イドリーは現在のチャージレベルに応じて即座に『通常攻撃：霜寒の抱擁』のとどめの落下攻撃を発動する。 「霜結の束縛」状態中、  、  を押すと、イドリーは『特殊スキル：寒風・追砕』を発動し、必ず「寒風」が発動する。
Dodge: Dreamshift,Press  to activate:  A quick dash dodge.  Character is invulnerable while using this skill.,回避：夢遊歩, を押して発動： ダッシュで高速回避する。 スキル発動中、無敵効果を得る。
Dash Attack: Frostbloom Impact,"Press  during a dodge to activate:  Strike forward, dealing Ice DMG.",ダッシュ攻撃：霜花疾駆,回避時に  を押して発動： 前方に打撃を放ち、氷属性ダメージを与える。
Dodge Counter: Icehaul Reverb,"Press  during a Perfect Dodge to activate:  Strikes enemies in front, dealing Ice DMG.  Character is invulnerable while using this skill.",回避反撃：氷の残響,『極限回避』後に  を押して発動： 前方の敵に打撃を放ち、氷属性ダメージを与える。 スキル発動中、無敵効果を得る。
Quick Assist: Frostshock Reinforcement,"When the active character is launched, press  to activate:  Strikes enemies in front, dealing Ice DMG.  Character is invulnerable while using this skill.",クイック支援：降霜の援護,操作しているメンバーが吹き飛ばされた時に、  を押して発動： 前方の敵に打撃を放ち、氷属性ダメージを与える。 スキル発動中、無敵効果を得る。
Defensive Assist: Flashquake Rejection,"When the on-field character is about to be attacked, press  to activate:  Parries the enemy's attack, dealing massive Daze.  Character is invulnerable while using this skill.",パリィ支援：閃震の守り,出場中のメンバーが攻撃されそうになった時に、  を押して発動： 敵の攻撃をパリィし、ブレイク値を大量に蓄積させる。 スキル発動中、無敵効果を得る。
Assist Follow-Up: Glacial Onslaught,"Press  after a Defensive Assist to activate:  Execute an ice shard hammer attack against enemies in front, dealing Ice DMG.  Character is invulnerable while using this skill.",支援突撃：氷襲の痛撃,『パリィ支援』発動後、 を押して発動： 前方の敵に氷の破片ハンマー攻撃を放ち、氷属性ダメージを与える。 スキル発動中、無敵効果を得る。
Special Attack: Cease Thoughts,"Press  to activate:  Launches enemies in front into the air, dealing Ice DMG.  Anti-Interrupt level is increased while using this skill.",特殊スキル：断想, を押して発動： 前方の敵を打ち上げ、氷属性ダメージを与える。 スキル発動中、中断耐性レベルがアップする。
EX Special Attack: Frost Coil,"With enough Adrenaline, press to activate:  Perform two consecutive upward strikes, then release an icy mist, dealing massive Ice DMG.  If EX Special Attack: Frost Coil hits an enemy, Yidhari recovers HP at the end of the skill equal to 33% of her missing HP.  Character is invulnerable while using this skill.",強化特殊スキル：氷霜,アドレナリンが十分な時、  を押して発動： 2回連続で打ち上げ攻撃を行い、氷霧を放って氷属性ダメージを大量に与える。 『強化特殊スキル：氷霜』が敵に命中した場合、スキル終了時にイドリーの失ったHP33%分のHPを回復する。 スキル発動中、無敵効果を得る。
"Special Attack: Surging Cold, Crushing Pursuit","Press  or while charging or spinning during Basic Attack: Frostbite Embrace, or press  while holding  to activate:  Launches enemies in front into the air, dealing Ice DMG.  When the skill's attack collides with an enemy's attack, it triggers Surging Cold.  If the skill hits a Stunned enemy, and with sufficient Adrenaline, it triggers Crushing Pursuit.  Triggering Surging Cold or Crushing Pursuit instantly raises the charge level to maximum.  During this skill, press  and Yidhari will immediately unleash the finishing slam of Basic Attack: Frostbite Embrace based on the current charge level.  Anti-Interrupt level is increased while using this skill.",特殊スキル：寒風・追砕,『通常攻撃：霜寒の抱擁』チャージ中または回転横振り中に、  、  を短押し、もしくは  を長押ししながらを押して発動： 前方の敵を打ち上げ、氷属性ダメージを与える。 スキルの攻撃と敵の攻撃が衝突した時、「寒風」が発動する。 スキルがブレイク状態の敵に命中し、かつアドレナリンが十分な時に、「追砕」が発動する。 「寒風」または「追砕」が発動すると、即座にチャージレベルが最大になる。 スキル発動中に  を押すと、イドリーは現在のチャージレベルに応じて即座に『通常攻撃：霜寒の抱擁』のとどめの落下攻撃を発動する。 スキル発動中、中断耐性レベルがアップする。
EX Special Attack: Glacial Crush,"When triggering Surging Cold or Crushing Pursuit, and with enough Adrenaline, press or  to activate:  Dash forward with an upward attack, then leap into the air before delivering a powerful downward smash, dealing massive Ice DMG.  If EX Special Attack: Glacial Crush hits an enemy, Yidhari heals at the end of the skill for 33% of her missing HP.  If the skill is used after Surging Cold, it grants an additional 15 Adrenaline. This effect can trigger once every 1s.  After using this skill, press  to immediately unleash the finishing slam of Basic Attack: Frostbite Embrace based on the current charge level.  Character is invulnerable while using this skill.",強化特殊スキル：極寒・重砕,「寒風」または「追砕」が発動し、かつアドレナリンが十分な時、  またはを押して発動： 前方にダッシュし、素早く打ち上げ攻撃を行ってから跳び上がる。その後強力な落下攻撃を放ち、氷属性ダメージを大量に与える。 『強化特殊スキル：極寒・重砕』が敵に命中した場合、スキル発動終了時にイドリーの失ったHP33%分のHPを回復する。 「寒風」の後に発動した場合、追加でアドレナリンを[ ]Pt回復する、1秒に1回のみ発動可能。 スキル発動後、  を押すと、現在のチャージレベルに応じて即座に『通常攻撃：霜寒の抱擁』のとどめの落下攻撃を発動する。 スキル発動中、無敵効果を得る。
Chain Attack: Frostbound Oath,"When a Chain Attack is triggered, select the character to activate:  Unleash a powerful strike against enemies in a small area ahead, dealing massive Ice DMG.  If inside Ether Veil: Wellspring, tentacles join in the assault, further enhancing the skill's power.  Character is invulnerable while using this skill.",連携スキル：寒霜の誓約,『連携スキル』開始時に、対応するエージェントを選択して発動： 前方小範囲の敵に強力な打撃を放ち、氷属性ダメージを大量に与える。 「エーテルベール・湧泉」効果を受けている時、触手を召喚して加勢攻撃を行い、スキルの威力がさらにアップする。 スキル発動中、無敵効果を得る。
Ether Veil: Wellspring,"When Decibel Rating is at Maximum, the final hit of Basic Attack: Frostbite Embrace, EX Special Attack: Frost Coil, EX Special Attack: Glacial Crush, and Chain Attack: Frostbound Oath will consume 3,000 Decibels to activate an Ether Veil: Wellspring.  While Ether Veil: Wellspring is active, all squad members' Max HP increase by 5% for 30s. Repeated triggers extend the duration, up to a maximum of 300s.  While Yidhari is within Ether Veil: Wellspring, the charge speed of Basic Attack: Frostbite Embrace increases, and HP is consumed faster during charging.",エーテルベール・湧泉,デシベルレートが『Maximum』に達した時、『通常攻撃：霜寒の抱擁』、『強化特殊スキル：氷霜』、『強化特殊スキル：極寒・重砕』、『連携スキル：寒霜の誓約』の最後の一撃が敵に命中した時、デシベル値を3000Pt消費し、「エーテルベール・湧泉」を発動する。「エーテルベール・湧泉」効果中、メンバー全員の最大HP+5%、継続時間30秒。重複して発動すると継続時間が延長され、最大300秒に延長可能。 イドリーが「エーテルベール・湧泉」の効果を受けている時、『通常攻撃：霜寒の抱擁』のチャージ速度とチャージ時のHP消費速度がアップする。
Ultimate: Final Act - Crossing the River of Regret,"After Yidhari expends Decibels to activate Ether Veil: Wellspring, press  within 30s to activate:  Deliver a powerful strike to enemies in a large area ahead, dealing massive Ice DMG.  Character is invulnerable while using this skill.  Each time Yidhari expends Decibels to activate an Ether Veil: Wellspring, she can use Ultimate: Final Act - Crossing the River of Regret once.",終結スキル：終幕・儚き夢を渡って,イドリーがデシベル値を消費して「エーテルベール・湧泉」を発動した後、30秒以内に  を押して発動： 前方広範囲の敵に強力な打撃を与え、氷属性ダメージを大量に与える。 スキル発動中、無敵効果を得る。 デシベル値を消費して「エーテルベール・湧泉」を発動するたびに、イドリーは『終結スキル：終幕・儚き夢を渡って』を1回のみ発動可能。
